aborigen,aborigen,N,C,S,09620794-n
aborígenes,aborigen,N,C,P,09620794-n
aborigen australiano,aborigen_australiano,N,C,S,09676490-n
aborígenes australianos,aborigen_australiano,N,C,P,09676490-n
afgano,afgano,N,M,S,09689435-n
afganos,afgano,N,M,P,09689435-n
afgana,afgano,N,F,S,09689435-n
afganas,afgano,N,F,P,09689435-n
afroamericano,afroamericano,N,M,S,09637013-n
afroamericanos,afroamericano,N,M,P,09637013-n
afroamericana,afroamericano,N,F,S,09637013-n
afroamericanas,afroamericano,N,F,P,09637013-n
albanés,albanés,N,M,S,09689958-n
albaneses,albanés,N,M,P,09689958-n
albanesa,albanés,N,F,S,09689958-n
albanesas,albanés,N,F,P,09689958-n
alemán,alemán,N,M,S,09747722-n
alemanes,alemán,N,M,P,09747722-n
alemana,alemán,N,F,S,09747722-n
alemanas,alemán,N,F,P,09747722-n
alsaciano,alsaciano,N,M,S,09785786-n
alsacianos,alsaciano,N,M,P,09785786-n
alsaciana,alsaciano,N,F,S,09785786-n
alsacianas,alsaciano,N,F,P,09785786-n
americana,americana,N,F,S,09738400-n
americanas,americana,N,F,P,09738400-n
americano,americano,N,M,S,09738400-n
americanos,americano,N,M,P,09738400-n
americana,americana,N,F,S,09738708-n
americanas,americana,N,F,P,09738708-n
americano,americano,N,M,S,09738708-n
americanos,americano,N,M,P,09738708-n
amerindio,amerindio,N,M,S,09645091-n
amerindios,amerindio,N,M,P,09645091-n
amerindia,amerindio,N,F,S,09645091-n
amerindias,amerindio,N,F,P,09645091-n
andorrano,andorrano,N,M,S,09690496-n
andorranos,andorrano,N,M,P,09690496-n
andorrana,andorrano,N,F,S,09690496-n
andorranas,andorrano,N,F,P,09690496-n
angloamericano,angloamericano,N,M,S,09740724-n
angloamericanos,angloamericano,N,M,P,09740724-n
angloamericana,angloamericano,N,F,S,09740724-n
angloamericanas,angloamericano,N,F,P,09740724-n
anglosajón,anglosajón,N,M,S,09701977-n
anglosajones,anglosajón,N,M,P,09701977-n
anglosajona,anglosajón,N,F,S,09701977-n
anglosajonas,anglosajón,N,F,P,09701977-n
angoleño,angoleño,N,M,S,09690621-n
angoleños,angoleño,N,M,P,09690621-n
angoleña,angoleño,N,F,S,09690621-n
angoleñas,angoleño,N,F,P,09690621-n
antillano,antillano,N,M,S,10774440-n
antillana,antillano,N,F,S,10774440-n
antillanos,antillano,N,M,P,10774440-n
antillanas,antillano,N,F,P,10774440-n
apache,apache,N,C,S,09649926-n
apaches,apache,N,C,P,09649926-n
árabe,árabe,N,C,S,09729530-n
árabes,árabe,N,C,P,09729530-n
arahuaco,arahuaco,N,M,S,09803247-n
arahuaca,arahuaco,N,F,S,09803247-n
arahuacas,arahuaco,N,F,P,09803247-n
arahuacos,arahuaco,N,M,P,09803247-n
argelino,argelino,N,M,S,09690083-n
argelinos,argelino,N,M,P,09690083-n
argelina,argelino,N,F,S,09690083-n
argelinas,argelino,N,F,P,09690083-n
argentino,argentino,N,M,S,09691149-n
argentinos,argentino,N,M,P,09691149-n
argentina,argentino,N,F,S,09691149-n
argentinas,argentino,N,F,P,09691149-n
asiático,asiático,N,M,S,09641757-n
asiáticos,asiático,N,M,P,09641757-n
asiática,asiático,N,F,S,09641757-n
asiáticas,asiático,N,F,P,09641757-n
ateniense,ateniense,N,C,S,09711132-n
atenienses,ateniense,N,C,P,09711132-n
australiano,australiano,N,M,S,09691279-n
australianos,australiano,N,M,P,09691279-n
australiana,australiano,N,F,S,09691279-n
australianas,australiano,N,F,P,09691279-n
austríaco,austríaco,N,M,S,09691604-n
austríacos,austríaco,N,M,P,09691604-n
austríaca,austríaco,N,F,S,09691604-n
austríacas,austríaco,N,F,P,09691604-n
azteca,azteca,N,C,S,09648911-n
aztecas,azteca,N,C,P,09648911-n
bahameño,bahameño,N,M,S,09691729-n
bahameños,bahameño,N,M,P,09691729-n
bahameña,bahameño,N,F,S,09691729-n
bahameñas,bahameño,N,F,P,09691729-n
balcánico,balcánico,N,M,S,09709332-n
balcánicos,balcánico,N,M,P,09709332-n
balcánica,balcánico,N,F,S,09709332-n
balcánicas,balcánico,N,F,P,09709332-n
bangladesí,bangladesí,N,C,S,09691994-n
bangladesís,bangladesí,N,C,P,09691994-n
barbadense,barbadense,N,C,S,09693982-n
barbadenses,barbadense,N,C,P,09693982-n
bávaro,bávaro,N,M,S,09844457-n
bávaros,bávaro,N,M,P,09844457-n
bávara,bávaro,N,F,S,09844457-n
bávaras,bávaro,N,F,P,09844457-n
belga,belga,N,C,S,09694109-n
belgas,belga,N,C,P,09694109-n
berlinés,berlinés,N,M,S,09748408-n
berlineses,berlinés,N,M,P,09748408-n
berlinesa,berlinés,N,F,S,09748408-n
berlinesas,berlinés,N,F,P,09748408-n
bielorruso,bielorruso,N,M,S,09695979-n
bielorrusos,bielorruso,N,M,P,09695979-n
bielorrusa,bielorruso,N,F,S,09695979-n
bielorrusas,bielorruso,N,F,P,09695979-n
birmano,birmano,N,M,S,09695747-n
birmanos,birmano,N,M,P,09695747-n
birmana,birmano,N,F,S,09695747-n
birmanas,birmano,N,F,P,09695747-n
bizantino,bizantino,N,M,S,09696124-n
bizantinos,bizantino,N,M,P,09696124-n
bizantina,bizantino,N,F,S,09696124-n
bizantinas,bizantino,N,F,P,09696124-n
boliviano,boliviano,N,M,S,09694664-n
bolivianos,boliviano,N,M,P,09694664-n
boliviana,boliviano,N,F,S,09694664-n
bolivianas,boliviano,N,F,P,09694664-n
brasileño,brasileño,N,M,S,09694894-n
brasileños,brasileño,N,M,P,09694894-n
brasileña,brasileño,N,F,S,09694894-n
brasileñas,brasileño,N,F,P,09694894-n
bretón,bretón,N,M,S,09688366-n
bretones,bretón,N,M,P,09688366-n
bretona,bretón,N,F,S,09688366-n
bretonas,bretón,N,F,P,09688366-n
británico,británico,N,M,S,09700964-n
británicos,británico,N,M,P,09700964-n
británica,británico,N,F,S,09700964-n
británicas,británico,N,F,P,09700964-n
búlgaro,búlgaro,N,M,S,09695620-n
búlgaros,búlgaro,N,M,P,09695620-n
búlgara,búlgaro,N,F,S,09695620-n
búlgaras,búlgaro,N,F,P,09695620-n
